method_chain,accuracy,adjusted_rand_index,f1_macro,fowlkes_mallows,normalized_mutual_info,v_measure
TokenFilter.Tfidf.GraphAffinity,0.31,0.04263947025797487,0.1800422068133856,0.4142738737257216,0.0987155021293072,0.09871550212930717
TokenFilter.Tfidf.Kmeans,0.38,0.03623061378474627,0.2621010150421915,0.30357797183233026,0.06779981160418527,0.06779981160418527
TokenFilter.Tfidf.Svm,0.12,0.020481337016639855,0.0625,0.33166472867349023,0.043198269034793915,0.04319826903479393
TokenFilter.BagOfWords.UmapHdbscan,0.22,0.05473960401261808,0.21599201010965716,0.3462524886246752,0.18634801926089217,0.18634801926089217
TokenFilter.BagOfWords.GraphAffinity,0.37,0.12595283789311004,0.20133901399878268,0.4385108662852208,0.19206336822335224,0.19206336822335227
TokenFilter.BagOfWords.Kmeans,0.27,-0.003260388534264698,0.12749937809226347,0.4317868410505146,0.05092686269752566,0.05092686269752565
TokenFilter.BagOfWords.Svm,0.12,-0.002260389818794708,0.05714285714285714,0.3137369055019502,0.014122927316426934,0.014122927316426934
TokenFilter.FastText.UmapHdbscan,0.34,0.031391855415535526,0.16560322698936558,0.38225512892036834,0.1023110844437525,0.10231108444375249
TokenFilter.FastText.GraphAffinity,0.25,0.0017497429696624208,0.09535519125683059,0.44069967291994094,0.023688047315953954,0.023688047315953954
TokenFilter.FastText.Kmeans,0.35,0.03048232776214312,0.22457907159716756,0.3334937976657699,0.0704166162442428,0.0704166162442428
TokenFilter.FastText.Svm,0.17,0.02830110141392208,0.0776255707762557,0.33763368393416815,0.04321192436096939,0.04321192436096939
TokenFilter.SentenceEmbedding.UmapHdbscan,0.43,0.27029748487678557,0.21040594625500283,0.5312833693220356,0.3874439166786424,0.3874439166786424
TokenFilter.SentenceEmbedding.Kmeans,0.42,0.1847703380044855,0.2926984126984127,0.41273211395048176,0.26087255522117875,0.2608725552211788
TokenFilter.SentenceEmbedding.Svm,0.16,0.010419565848138966,0.07111111111111111,0.32353891913995236,0.031045625354226544,0.03104562535422654
None.Tfidf.GraphAffinity,0.32,0.05233536966665063,0.1726574500768049,0.3630484241572073,0.06804488001693962,0.06804488001693963
None.Tfidf.Kmeans,0.29,0.011009547949408059,0.16086580086580088,0.4061869851914882,0.08110070333073154,0.08110070333073154
None.Tfidf.Svm,0.17,-0.002266719970812099,0.06910569105691057,0.3175615318856882,0.011573743517860776,0.011573743517860774
None.BagOfWords.UmapHdbscan,0.11,0.0023311380956789855,0.08800186741363213,0.29735418133766817,0.026119959351315943,0.02611995935131594
None.BagOfWords.GraphAffinity,0.33,0.054427922280587605,0.18674242424242424,0.388816630572927,0.09056048975951879,0.09056048975951879
None.BagOfWords.Kmeans,0.26,-0.0023140547719984425,0.11207982893799003,0.43706547923678407,0.03491700852518965,0.03491700852518965
None.BagOfWords.Svm,0.11,-0.009087563859988068,0.05164319248826291,0.30816281209171703,0.00792849229185417,0.00792849229185417
None.FastText.UmapHdbscan,0.3,0.03527268722705551,0.15177304964539007,0.3432597037965822,0.11606083551113126,0.11606083551113125
None.FastText.GraphAffinity,0.25,-0.0024183165586479658,0.09535519125683059,0.4370195086366846,0.01874621494461663,0.01874621494461663
None.FastText.Kmeans,0.37,0.0532853970482746,0.24296296296296296,0.36612606566992645,0.1083941507642083,0.10839415076420832
None.FastText.Svm,0.14,-0.0016095654173373189,0.06306306306306307,0.3139929128113796,0.015771139144236203,0.015771139144236203
None.SentenceEmbedding.UmapHdbscan,0.41,0.29317995978623557,0.21823037822003963,0.4996001178943624,0.39384467108054544,0.3938446710805454
None.SentenceEmbedding.Kmeans,0.61,0.40412491187469585,0.4295332671300893,0.5692274633328306,0.4698527148191332,0.4698527148191332
None.SentenceEmbedding.Svm,0.13,-0.002260389818794708,0.06018518518518518,0.3137369055019502,0.013058077299040122,0.013058077299040124
